capacity,selected,boundary,tp,fp,fn,tn,recall,precision,specificity,youden_j,f1,f2,seed,validation_n,validation_positive
0.235,1200,0.1216426947570387,311,889,139,3771,0.6911111111111111,0.25916666666666666,0.8092274678111588,0.5003385789222698,0.37696969696969695,0.5183333333333333,24101765,5110,450
0.239,1240,0.12162770404798057,319,921,134,3816,0.7041942604856513,0.25725806451612904,0.8055731475617479,0.5097674080473991,0.37684583579444775,0.5226081258191351,24101766,5190,453
0.249,1309,0.11689485622666634,309,1000,146,3805,0.6791208791208792,0.23605805958747136,0.7918834547346514,0.47100433385553053,0.35034013605442177,0.4937679769894535,24101767,5260,455
0.215,1092,0.12251273000259366,293,799,162,3827,0.643956043956044,0.2683150183150183,0.827280587980977,0.47123663193702114,0.37879767291531996,0.5030906593406592,24101768,5081,455
0.25,1284,0.11700876502266436,312,972,137,3718,0.6948775055679287,0.24299065420560748,0.7927505330490405,0.48762803861696913,0.36006924408540103,0.5064935064935064,24101769,5139,449
0.258,1311,0.11045743496876428,317,994,139,3633,0.6951754385964912,0.2418001525553013,0.7851739788199698,0.48034941741646087,0.35880022637238257,0.5055821371610846,24101770,5083,456
0.273,1388,0.11275999608723641,310,1078,119,3580,0.7226107226107226,0.22334293948126802,0.7685702018033491,0.4911809244140717,0.341221794166208,0.4993556701030928,24101771,5087,429
0.206,1050,0.12900137785094856,280,770,173,3875,0.6181015452538632,0.26666666666666666,0.8342303552206674,0.45233190047453053,0.37258815701929476,0.4891684136967156,24101772,5098,453
0.243,1246,0.11627593779810151,307,939,133,3751,0.6977272727272728,0.2463884430176565,0.7997867803837954,0.4975140531110682,0.3641755634638197,0.5106453759148369,24101773,5130,440
0.199,1052,0.13559717680240074,271,781,172,4063,0.6117381489841986,0.2576045627376426,0.8387696118909992,0.45050776087519795,0.36254180602006686,0.4798158640226629,24101774,5287,443
