check,observed,expected,tolerance,pass
analytic_n,25491.0,25491,0.0,True
positive_n,2245.0,2245,0.0,True
Training_n,15334,15334,0.0,True
Training_positive,1357,1357,0.0,True
Validation_n,5141,5141,0.0,True
Validation_positive,440,440,0.0,True
Test_n,5016,5016,0.0,True
Test_positive,448,448,0.0,True
cluster_train_validation,0,0,0.0,True
cluster_train_test,0,0,0.0,True
cluster_validation_test,0,0,0.0,True
household_train_validation,0,0,0.0,True
household_train_test,0,0,0.0,True
household_validation_test,0,0,0.0,True
primary_model,Weighted XGBoost,Weighted XGBoost,0.0,True
test_roc_auc,0.7971579270390293,0.7972,5e-05,True
test_pr_auc,0.3694425583968476,0.3694,5e-05,True
test_brier,0.0684197834998759,0.0684,5e-05,True
selected_capacity,0.243,0.243,5e-10,True
mean_f2,0.4991431757010852,0.4991,5e-05,True
mean_recall,0.6777365534313636,0.6777,5e-05,True
mean_precision,0.2430740889164426,0.2431,5e-05,True
mean_boundary,0.1178083447289279,0.1178,5e-05,True
one_se_capacity,0.213,0.213,5e-10,True
f1_capacity,0.099,0.099,5e-10,True
youden_capacity,0.263,0.263,5e-10,True
fixed_threshold,0.1218,0.1218,5e-10,True
fixed_threshold_mean_workload,0.2317990003586747,0.2318,5e-05,True
final_selected,1218,1218,0.0,True
final_tp,281,281,0.0,True
final_fp,937,937,0.0,True
final_fn,167,167,0.0,True
final_tn,3631,3631,0.0,True
final_recall,0.6272321428571429,0.6272,5e-05,True
final_precision,0.2307060755336617,0.2307,5e-05,True
final_specificity,0.794877408056042,0.7949,5e-05,True
final_f2,0.4667774086378737,0.4668,5e-05,True
final_boundary,0.1233550152105289,0.1234,5e-05,True
subgroup_recall_sex_Female,0.7272727272727273,0.7273,5e-05,True
subgroup_recall_sex_Male,0.4506172839506173,0.4506,5e-05,True
subgroup_recall_residence_Urban,0.7076923076923077,0.7077,5e-05,True
subgroup_recall_residence_Rural,0.5159574468085106,0.516,5e-05,True
subgroup_recall_age_group_15–24,0.1379310344827586,0.1379,5e-05,True
calibration_intercept,0.0223592980353208,0.022,0.0005,True
calibration_slope,1.0293541103586437,1.0292,0.0005,True
ece,0.0081321136984376,0.0081,0.0005,True
stability_xgb_pr,0.3674724232694979,0.3675,0.0005,True
stability_xgb_roc,0.8035811275200206,0.8036,0.0005,True
pooled_Overall_tp,1471,1471,0.0,True
pooled_Overall_positive,2245,2245,0.0,True
pooled_Overall_recall,0.6552338530066815,0.6552,5e-05,True
pooled_15–24_tp,23,23,0.0,True
pooled_15–24_positive,286,286,0.0,True
pooled_15–24_recall,0.0804195804195804,0.0804,5e-05,True
pooled_Male_tp,430,430,0.0,True
pooled_Male_positive,792,792,0.0,True
pooled_Male_recall,0.5429292929292929,0.5429,5e-05,True
pooled_Rural_tp,525,525,0.0,True
pooled_Rural_positive,962,962,0.0,True
pooled_Rural_recall,0.5457380457380457,0.5457,5e-05,True
domain_Demographic_domain_only_roc_auc,0.7331450736489867,0.7331,0.0005,True
domain_Demographic_domain_only_pr_auc,0.184437065263126,0.1844,0.0005,True
domain_Demographic_without_domain_roc_auc,0.769171116618714,0.7692,0.0005,True
domain_Demographic_without_domain_pr_auc,0.3461861321252876,0.3462,0.0005,True
domain_Demographic_delta_pr_auc,-0.0232564262715599,-0.0233,0.0005,True
domain_Structural/socioeconomic_domain_only_roc_auc,0.6225662899518389,0.6226,0.0005,True
domain_Structural/socioeconomic_domain_only_pr_auc,0.1355525748388151,0.1356,0.0005,True
domain_Structural/socioeconomic_without_domain_roc_auc,0.7801818160495373,0.7802,0.0005,True
domain_Structural/socioeconomic_without_domain_pr_auc,0.3428333615814676,0.3428,0.0005,True
domain_Structural/socioeconomic_delta_pr_auc,-0.0266091968153799,-0.0266,0.0005,True
domain_Behavioural/relationship_domain_only_roc_auc,0.7194355727733299,0.7194,0.0005,True
domain_Behavioural/relationship_domain_only_pr_auc,0.2088723302883313,0.2089,0.0005,True
domain_Behavioural/relationship_without_domain_roc_auc,0.7894380257849637,0.7894,0.0005,True
domain_Behavioural/relationship_without_domain_pr_auc,0.3511047404988741,0.3511,0.0005,True
domain_Behavioural/relationship_delta_pr_auc,-0.0183378178979735,-0.0183,0.0005,True
domain_Health/testing history_domain_only_roc_auc,0.6622625660651738,0.6623,0.0005,True
domain_Health/testing history_domain_only_pr_auc,0.1988653321737064,0.1989,0.0005,True
domain_Health/testing history_without_domain_roc_auc,0.7851611364773581,0.7852,0.0005,True
domain_Health/testing history_without_domain_pr_auc,0.2716521449343219,0.2717,0.0005,True
domain_Health/testing history_delta_pr_auc,-0.0977904134625257,-0.0978,0.0005,True
