variable,group,n,positive,tp,fp,fn,tn,recall,precision,specificity,false_negative_rate,load_n,load_fraction,recall_ci_lower,recall_ci_upper,mean_score_positive,max_score_positive
sex,Female,2643,286,208,590,78,1767,0.7272727272727273,0.2606516290726817,0.7496817988969029,0.2727272727272727,798,0.30192962542565266,0.6717253536866559,0.7780419429235074,0.2778814424744946,0.9099275190786728
sex,Male,2373,162,73,347,89,1864,0.4506172839506173,0.1738095238095238,0.8430574400723655,0.5493827160493827,420,0.17699115044247787,0.37245393524549864,0.5306205611502903,0.14716377334886652,0.5607692925457947
residence,Rural,2909,188,97,372,91,2349,0.5159574468085106,0.2068230277185501,0.8632855567805954,0.48404255319148937,469,0.1612237882433826,0.4421045627538292,0.5892992377809405,0.17764948995307217,0.8018909030566719
residence,Urban,2107,260,184,565,76,1282,0.7076923076923077,0.24566088117489987,0.6940985381700054,0.29230769230769227,749,0.3554817275747508,0.6483310300349016,0.7622475451291513,0.26890969122709335,0.9099275190786728
age_group,15–24,2114,58,8,28,50,2028,0.13793103448275862,0.2222222222222222,0.9863813229571985,0.8620689655172413,36,0.017029328287606435,0.06147966296573545,0.25380975527647814,0.07299843443719578,0.5242488632024973
age_group,25–34,1324,126,72,252,54,946,0.5714285714285714,0.2222222222222222,0.7896494156928213,0.4285714285714286,324,0.24471299093655588,0.48023998941269236,0.6591814244093329,0.1962717310941962,0.8568791233023806
age_group,35–44,992,158,117,361,41,473,0.740506329113924,0.24476987447698745,0.5671462829736211,0.259493670886076,478,0.48185483870967744,0.6648601381790507,0.8069015538310291,0.28425746877006125,0.8738163625177484
age_group,45–54,503,93,74,261,19,149,0.7956989247311828,0.2208955223880597,0.36341463414634145,0.20430107526881724,335,0.6660039761431411,0.699489789953604,0.8722846725964377,0.29010199128174213,0.9099275190786728
age_group,55–65,83,13,10,35,3,35,0.7692307692307693,0.2222222222222222,0.5,0.23076923076923073,45,0.5421686746987951,0.461868460765959,0.9496189265088485,0.18910086616339034,0.2898575399503052
wealth,Middle,992,88,54,189,34,715,0.6136363636363636,0.2222222222222222,0.790929203539823,0.38636363636363635,243,0.24495967741935484,0.5038141275973154,0.71558188565378,0.23161220782670888,0.8738163625177484
wealth,Poorer,915,58,27,131,31,726,0.46551724137931033,0.17088607594936708,0.8471411901983664,0.5344827586206897,158,0.1726775956284153,0.33340034964404697,0.6012750928056168,0.16569012248794196,0.6247379897505945
wealth,Poorest,1123,65,34,115,31,943,0.5230769230769231,0.22818791946308725,0.8913043478260869,0.4769230769230769,149,0.13268032056990206,0.3954424614284132,0.6485403192391699,0.17691785991486222,0.7113549852885853
